,HARGA,LT,LB,JKT,JKM,GRS,KOTA
200,3600000000,78,185,4,4,0,Jakarta Selatan
201,15000000000,250,460,4,4,1,Jakarta Selatan
202,17500000000,518,450,5,7,1,Jakarta Selatan
203,4000000000,117,221,4,3,1,Jakarta Selatan
204,8000000000,350,350,2,1,0,Jakarta Selatan
205,20000000000,550,600,5,5,1,Jakarta Selatan
206,30000000000,555,527,8,6,1,Jakarta Selatan
207,27000000000,670,650,4,4,1,Jakarta Selatan
208,20000000000,1040,600,4,3,1,Jakarta Selatan
209,15750000000,598,243,4,4,1,Jakarta Selatan
210,34500000000,974,800,5,6,1,Jakarta Selatan
211,4300000000,124,184,3,3,1,Jakarta Selatan
212,8500000000,230,310,5,3,0,Jakarta Selatan
213,9500000000,225,400,3,3,1,Jakarta Selatan
214,19000000000,520,500,5,5,1,Jakarta Selatan
215,13000000000,208,458,4,3,1,Jakarta Selatan
216,11900000000,239,568,4,4,1,Jakarta Selatan
217,13000000000,616,600,5,4,1,Jakarta Selatan
218,20000000000,890,600,5,5,1,Jakarta Selatan
219,7500000000,186,380,3,3,1,Jakarta Selatan
220,6150000000,158,400,3,3,1,Jakarta Selatan
221,10500000000,500,700,4,4,1,Jakarta Selatan
222,13500000000,384,450,4,4,1,Jakarta Selatan
223,55000000000,1475,1200,5,6,1,Jakarta Selatan
224,19000000000,358,635,4,5,1,Jakarta Selatan
225,13900000000,450,248,4,4,1,Jakarta Selatan
226,29500000000,923,429,9,5,0,Jakarta Selatan
227,22000000000,455,570,4,5,1,Jakarta Selatan
228,60000000000,1500,1200,6,6,1,Jakarta Selatan
229,13000000000,314,450,4,4,1,Jakarta Selatan
230,16000000000,895,420,5,5,1,Jakarta Selatan
231,18000000000,968,600,4,3,1,Jakarta Selatan
232,30000000000,1000,800,5,6,1,Jakarta Selatan
233,47000000000,1375,1400,5,5,1,Jakarta Selatan
234,6000000000,206,300,4,4,1,Jakarta Selatan
235,9550000000,251,288,4,5,0,Jakarta Selatan
236,32000000000,973,1100,5,5,1,Jakarta Selatan
237,19000000000,435,650,4,4,1,Jakarta Selatan
238,55000000000,1500,1200,6,6,1,Jakarta Selatan
239,17000000000,624,557,6,5,0,Jakarta Selatan
240,19000000000,870,700,6,4,1,Jakarta Selatan
241,14700000000,474,455,4,5,1,Jakarta Selatan
242,13800000000,260,360,6,5,1,Jakarta Selatan
243,15000000000,450,400,4,3,0,Jakarta Selatan
244,10000000000,160,250,3,4,1,Jakarta Selatan
245,6250000000,150,440,3,2,1,Jakarta Selatan
246,7800000000,200,390,4,4,1,Jakarta Selatan
247,6800000000,137,285,4,3,1,Jakarta Selatan
248,15000000000,398,500,5,4,1,Jakarta Selatan
249,19000000000,916,1000,5,7,0,Jakarta Selatan
250,6750000000,217,193,4,4,0,Jakarta Selatan
251,28000000000,330,300,3,3,1,Jakarta Selatan
252,17000000000,921,310,3,3,1,Jakarta Selatan
253,11900000000,260,365,4,4,1,Jakarta Selatan
254,9530000000,150,523,3,3,0,Jakarta Selatan
255,10400000000,282,280,4,3,1,Jakarta Selatan
256,6500000000,138,290,4,3,1,Jakarta Selatan
257,15000000000,658,500,3,3,1,Jakarta Selatan
258,6000000000,200,272,4,4,1,Jakarta Selatan
259,6900000000,137,315,3,2,1,Jakarta Selatan
260,16000000000,521,470,7,6,1,Jakarta Selatan
261,19000000000,400,788,4,3,1,Jakarta Selatan
262,25000000000,865,450,4,4,1,Jakarta Selatan
263,15500000000,1100,600,4,4,1,Jakarta Selatan
264,12600000000,540,800,5,4,0,Jakarta Selatan
265,7900000000,228,465,4,4,1,Jakarta Selatan
266,20000000000,462,645,5,5,1,Jakarta Selatan
267,5000000000,143,200,3,3,1,Jakarta Selatan
268,18000000000,1900,650,6,6,1,Jakarta Selatan
269,1100000000,90,180,3,3,1,Jakarta Selatan
270,6500000000,427,300,4,4,1,Jakarta Selatan
271,17000000000,407,850,6,5,1,Jakarta Selatan
272,6500000000,217,195,4,3,1,Jakarta Selatan
273,8500000000,307,400,4,5,1,Jakarta Selatan
274,13500000000,429,600,5,4,1,Jakarta Selatan
275,850000000,76,60,2,2,0,Jakarta Selatan
276,14000000000,460,500,5,4,1,Jakarta Selatan
277,11200000000,371,250,6,3,1,Jakarta Selatan
278,7700000000,200,373,4,3,1,Jakarta Selatan
279,10000000000,388,343,4,4,1,Jakarta Selatan
280,13500000000,282,380,4,4,1,Jakarta Selatan
281,13000000000,410,800,4,4,0,Jakarta Selatan
282,27000000000,660,800,5,4,1,Jakarta Selatan
283,19000000000,435,650,4,4,1,Jakarta Selatan
284,7000000000,384,400,4,4,1,Jakarta Selatan
285,27500000000,1068,300,5,3,1,Jakarta Selatan
286,17000000000,465,640,3,4,0,Jakarta Selatan
287,10000000000,475,600,5,5,0,Jakarta Selatan
288,6800000000,210,275,3,2,1,Jakarta Selatan
289,21000000000,754,500,4,4,1,Jakarta Selatan
290,25000000000,1340,600,8,5,1,Jakarta Selatan
291,16000000000,521,471,5,5,1,Jakarta Selatan
292,6000000000,329,500,5,3,0,Jakarta Selatan
293,21000000000,1018,600,4,4,0,Jakarta Selatan
294,33000000000,1100,450,4,4,1,Jakarta Selatan
295,2790000000,180,250,3,3,1,Jakarta Selatan
296,8500000000,307,400,7,6,0,Jakarta Selatan
297,1930000000,111,135,3,3,0,Jakarta Selatan
298,14000000000,410,800,4,4,1,Jakarta Selatan
299,12750000000,500,400,4,3,0,Jakarta Selatan
300,5000000000,188,260,4,3,1,Jakarta Selatan
301,25000000000,1040,600,4,3,0,Jakarta Selatan
302,25000000000,1000,600,9,5,1,Jakarta Selatan
303,85500000000,1500,1300,5,5,1,Jakarta Selatan
304,5400000000,165,297,3,3,1,Jakarta Selatan
305,14000000000,380,350,6,4,1,Jakarta Selatan
306,5600000000,151,254,4,3,1,Jakarta Selatan
307,38000000000,1390,750,6,4,0,Jakarta Selatan
308,30000000000,557,400,4,3,0,Jakarta Selatan
309,17500000000,518,450,5,7,1,Jakarta Selatan
310,39500000000,1960,900,5,4,1,Jakarta Selatan
311,15000000000,395,460,4,4,1,Jakarta Selatan
312,13000000000,235,623,5,5,0,Jakarta Selatan
