HARGA,LT,LB,JKT,JKM,GRS,KOTA
"47,000,000,000",1375,1400,5,5,ADA,JAKSEL
"6,000,000,000",206,300,4,4,ADA,JAKSEL
"9,550,000,000",251,288,4,5,TIDAK ADA,JAKSEL
"32,000,000,000",973,1100,5,5,ADA,JAKSEL
"19,000,000,000",435,650,4,4,ADA,JAKSEL
"55,000,000,000",1500,1200,6,6,ADA,JAKSEL
"17,000,000,000",624,557,6,5,TIDAK ADA,JAKSEL
"19,000,000,000",870,700,6,4,ADA,JAKSEL
"14,700,000,000",474,455,4,5,ADA,JAKSEL
"13,800,000,000",260,360,6,5,ADA,JAKSEL
"15,000,000,000",450,400,4,3,TIDAK ADA,JAKSEL
"10,000,000,000",160,250,3,4,ADA,JAKSEL
"6,250,000,000",150,440,3,2,ADA,JAKSEL
"7,800,000,000",200,390,4,4,ADA,JAKSEL
"6,800,000,000",137,285,4,3,ADA,JAKSEL
"15,000,000,000",398,500,5,4,ADA,JAKSEL
"19,000,000,000",916,1000,5,7,TIDAK ADA,JAKSEL
"6,750,000,000",217,193,4,4,TIDAK ADA,JAKSEL
"28,000,000,000",330,300,3,3,ADA,JAKSEL
"17,000,000,000",921,310,3,3,ADA,JAKSEL
"11,900,000,000",260,365,4,4,ADA,JAKSEL
"9,530,000,000",150,523,3,3,TIDAK ADA,JAKSEL
"10,400,000,000",282,280,4,3,ADA,JAKSEL
"6,500,000,000",138,290,4,3,ADA,JAKSEL
"15,000,000,000",658,500,3,3,ADA,JAKSEL
"6,000,000,000",200,272,4,4,ADA,JAKSEL
"6,900,000,000",137,315,3,2,ADA,JAKSEL
"16,000,000,000",521,470,7,6,ADA,JAKSEL
"19,000,000,000",400,788,4,3,ADA,JAKSEL
"25,000,000,000",865,450,4,4,ADA,JAKSEL
"15,500,000,000",1100,600,4,4,ADA,JAKSEL
"12,600,000,000",540,800,5,4,TIDAK ADA,JAKSEL
"7,900,000,000",228,465,4,4,ADA,JAKSEL
"20,000,000,000",462,645,5,5,ADA,JAKSEL
"5,000,000,000",143,200,3,3,ADA,JAKSEL
"18,000,000,000",1900,650,6,6,ADA,JAKSEL
"1,100,000,000",90,180,3,3,ADA,JAKSEL
"6,500,000,000",427,300,4,4,ADA,JAKSEL
"17,000,000,000",407,850,6,5,ADA,JAKSEL
"6,500,000,000",217,195,4,3,ADA,JAKSEL
"8,500,000,000",307,400,4,5,ADA,JAKSEL
"13,500,000,000",429,600,5,4,ADA,JAKSEL
"850,000,000",76,60,2,2,TIDAK ADA,JAKSEL
"14,000,000,000",460,500,5,4,ADA,JAKSEL
"11,200,000,000",371,250,6,3,ADA,JAKSEL
"7,700,000,000",200,373,4,3,ADA,JAKSEL
"10,000,000,000",388,343,4,4,ADA,JAKSEL
"13,500,000,000",282,380,4,4,ADA,JAKSEL
"13,000,000,000",410,800,4,4,TIDAK ADA,JAKSEL
"27,000,000,000",660,800,5,4,ADA,JAKSEL
"19,000,000,000",435,650,4,4,ADA,JAKSEL
"7,000,000,000",384,400,4,4,ADA,JAKSEL
"27,500,000,000",1068,300,5,3,ADA,JAKSEL
"17,000,000,000",465,640,3,4,TIDAK ADA,JAKSEL
"10,000,000,000",475,600,5,5,TIDAK ADA,JAKSEL
"6,800,000,000",210,275,3,2,ADA,JAKSEL
"21,000,000,000",754,500,4,4,ADA,JAKSEL
"25,000,000,000",1340,600,8,5,ADA,JAKSEL
"16,000,000,000",521,471,5,5,ADA,JAKSEL
"6,000,000,000",329,500,5,3,TIDAK ADA,JAKSEL
"21,000,000,000",1018,600,4,4,TIDAK ADA,JAKSEL
"33,000,000,000",1100,450,4,4,ADA,JAKSEL
"2,790,000,000",180,250,3,3,ADA,JAKSEL
"8,500,000,000",307,400,7,6,TIDAK ADA,JAKSEL
"1,930,000,000",111,135,3,3,TIDAK ADA,JAKSEL
"14,000,000,000",410,800,4,4,ADA,JAKSEL
"12,750,000,000",500,400,4,3,TIDAK ADA,JAKSEL
"5,000,000,000",188,260,4,3,ADA,JAKSEL
"25,000,000,000",1040,600,4,3,TIDAK ADA,JAKSEL
